지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),적설(cm),전운량(10분위),지면상태(지면상태코드),지면온도(°C)
238,금산,2022-03-05 05:00,4.4,,3,290,64,991.6,,,0,,.9
238,금산,2022-03-05 06:00,3.3,,3.3,290,57,992.7,,,0,,.2
238,금산,2022-03-05 07:00,2.4,,3.1,290,50,993.1,0,,0,,-.7
238,금산,2022-03-05 08:00,3.3,,2.4,270,39,993.9,.6,,0,,-.1
238,금산,2022-03-05 09:00,3.4,,3.4,320,32,995.3,1,,0,,2.4
238,금산,2022-03-05 10:00,3.7,,3.8,290,24,995.7,1,,0,,13.1
238,금산,2022-03-05 11:00,4.5,,3.4,290,25,995.4,1,,0,,21.2
238,금산,2022-03-05 12:00,5.5,,4.6,290,24,994.9,1,,0,,25.8
238,금산,2022-03-05 13:00,6.6,,4.7,320,25,994.5,1,,0,,27
238,금산,2022-03-05 14:00,6.7,,4.2,290,23,994,1,,0,,28.4
238,금산,2022-03-05 15:00,6.8,,4.6,290,25,994.4,1,,0,,25.5
238,금산,2022-03-05 16:00,5.7,,6.5,290,22,994.8,1,,0,,18.1
238,금산,2022-03-05 17:00,5,,5,290,23,995.3,1,,0,,13.1
238,금산,2022-03-05 18:00,3.7,,4.3,290,25,995.5,1,,0,,4.1
238,금산,2022-03-05 19:00,2.5,,4,290,28,996.8,.1,,0,,1.2
238,금산,2022-03-05 20:00,1.4,,2.9,290,36,997,,,0,,-.4
238,금산,2022-03-05 21:00,.6,,2.4,290,43,997.7,,,0,,-1.5
238,금산,2022-03-05 22:00,.1,,2,290,47,998.4,,,0,,-2.3
238,금산,2022-03-05 23:00,-.5,,1.3,270,51,998.6,,,0,,-2.8
238,금산,2022-03-06 00:00,-.6,,2.2,290,53,998.7,,,0,,-2.8
238,금산,2022-03-06 01:00,-1.7,,1.1,290,59,998.9,,,0,,-3.8
238,금산,2022-03-06 02:00,-2,,.6,290,58,999.1,,,0,,-4.4
238,금산,2022-03-06 03:00,-2.7,,.4,0,62,999,,,0,,-5
238,금산,2022-03-06 04:00,-2.5,,.2,0,59,999.3,,,0,,-5.4
238,금산,2022-03-06 05:00,-3.8,,.4,0,68,999.8,,,0,,-5.4
238,금산,2022-03-06 06:00,-4.4,,.2,0,73,1000.6,,,0,,-6
238,금산,2022-03-06 07:00,-4.7,,.1,0,72,1000.9,0,,0,,-6.2
238,금산,2022-03-06 08:00,-2.9,,.2,0,65,1001.5,.8,,0,,-4.2
238,금산,2022-03-06 09:00,1.3,,1.8,340,38,1002,1,,0,,-.8
238,금산,2022-03-06 10:00,2.5,,2.2,320,29,1001.9,1,,0,,12.1
238,금산,2022-03-06 11:00,4.2,,2.5,320,24,1001.5,1,,0,,21.2
238,금산,2022-03-06 12:00,5,,2.9,320,22,1001.2,1,,0,,27.2
238,금산,2022-03-06 13:00,6.3,,3.3,290,19,1000.5,1,,0,,30.4
238,금산,2022-03-06 14:00,7.7,,2.8,290,15,999.3,1,,0,,30.9
238,금산,2022-03-06 15:00,7.6,,3.2,320,16,998.4,1,,0,,28.3
238,금산,2022-03-06 16:00,8.2,,2.3,290,16,998.1,1,,0,,24
238,금산,2022-03-06 17:00,7.7,,3,320,16,998,1,,0,,16.2
238,금산,2022-03-06 18:00,5.9,,2.4,270,28,998.6,1,,0,,5.9
238,금산,2022-03-06 19:00,3.6,,2,270,40,999.6,0,,4,,2
238,금산,2022-03-06 20:00,2.3,,1.7,290,44,1000.1,,,2,,.1
238,금산,2022-03-06 21:00,1.6,,.6,270,45,1000.8,,,5,,-1.5
238,금산,2022-03-06 22:00,0,,.3,0,51,1001,,,8,,-2.9
238,금산,2022-03-06 23:00,-1.8,,1.1,270,60,1001.2,,,5,,-3.4
238,금산,2022-03-07 00:00,-2.4,,.1,0,61,1001,,,8,,-3.7
238,금산,2022-03-07 01:00,-3.7,,.4,0,68,1000.6,,,7,,-4.6
238,금산,2022-03-07 02:00,-3.8,,.3,0,68,1000.7,,,9,,-4.3
238,금산,2022-03-07 03:00,-4.2,,0,0,69,1000.5,,,9,,-4.3
238,금산,2022-03-07 04:00,-4.6,,.7,320,72,1000.3,,,9,,-4.1
238,금산,2022-03-07 05:00,-4.7,,.5,320,73,1000.1,,,9,,-4.1
238,금산,2022-03-07 06:00,-4.7,,.1,0,74,1000.2,,,9,,-4.6
238,금산,2022-03-07 07:00,-5.3,,.4,0,77,1000.5,0,,8,,-4.7
238,금산,2022-03-07 08:00,-4.6,,.7,290,73,1001.1,.1,,8,,-2.7
238,금산,2022-03-07 09:00,-1.7,,.6,140,63,1001.4,1,,0,,.2
238,금산,2022-03-07 10:00,1.7,,.6,70,50,1000.8,1,,6,,10.2
238,금산,2022-03-07 11:00,3.7,,1,140,30,1000,1,,7,,19
238,금산,2022-03-07 12:00,6.8,,1.3,20,27,999.4,1,,7,,29
238,금산,2022-03-07 13:00,9.6,,1.1,340,17,998.6,1,,8,,29.4
238,금산,2022-03-07 14:00,10.9,,1.3,20,15,997.5,1,,4,,32.2
238,금산,2022-03-07 15:00,11.1,,2.1,360,15,997,1,,1,,27.5
238,금산,2022-03-07 16:00,10.9,,2,360,16,996.7,1,,0,,21.8
238,금산,2022-03-07 17:00,10.2,,2.4,290,16,996.8,1,,0,,14.8
238,금산,2022-03-07 18:00,8.8,,1.8,290,19,997.4,.7,,3,,7.5
238,금산,2022-03-07 19:00,7,,.9,270,24,998.1,0,,5,,3.3
238,금산,2022-03-07 20:00,6.4,,1.3,320,33,998.3,,,6,,2.9
238,금산,2022-03-07 21:00,4.7,,1,250,39,998.3,,,7,,1.8
238,금산,2022-03-07 22:00,2.3,,.2,0,48,998.5,,,0,,-1.2
238,금산,2022-03-07 23:00,.4,,.5,270,56,998.6,,,0,,-2.4
238,금산,2022-03-08 00:00,-.3,,.4,0,58,998.5,,,0,,-3.2
238,금산,2022-03-08 01:00,-1,,.1,0,62,998.6,,,0,,-3.7
238,금산,2022-03-08 02:00,-2.5,,.1,0,67,998.8,,,0,,-4
238,금산,2022-03-08 03:00,-2.7,,0,0,70,998.6,,,0,,-4.4
238,금산,2022-03-08 04:00,-3.4,,.9,290,72,998.4,,,0,,-4.6
238,금산,2022-03-08 05:00,-4,,.4,0,74,998.5,,,0,,-5
238,금산,2022-03-08 06:00,-4.5,,.2,0,75,998.7,,,0,,-5.2
238,금산,2022-03-08 07:00,-5,,.4,0,80,998.9,0,,0,,-5.3
238,금산,2022-03-08 08:00,-2.9,,.4,0,73,999.1,.7,,0,,-3
238,금산,2022-03-08 09:00,.1,,.7,140,59,999.3,1,,0,,.1
238,금산,2022-03-08 10:00,4,,.6,50,45,999.4,1,,0,,13
238,금산,2022-03-08 11:00,7.7,,.7,20,37,999,1,,7,,22
238,금산,2022-03-08 12:00,9.5,,1.2,110,31,998.4,1,,7,,27.1
238,금산,2022-03-08 13:00,10.8,,1.1,270,30,997.7,1,,7,,32.4
238,금산,2022-03-08 14:00,12.6,,1.8,230,27,996.6,1,,3,,34
238,금산,2022-03-08 15:00,13.6,,2.5,340,28,996.4,1,,0,,31
238,금산,2022-03-08 16:00,13.3,,2.1,320,29,996.1,1,,1,,25.3
238,금산,2022-03-08 17:00,12.4,,2.1,290,32,996.3,1,,0,,18.3
238,금산,2022-03-08 18:00,10.8,,1,320,38,996.6,.8,,5,,9.7
238,금산,2022-03-08 19:00,9.4,,1,250,42,997,0,,3,,4.7
238,금산,2022-03-08 20:00,6.6,,.1,0,52,997.4,,,6,,2.3
238,금산,2022-03-08 21:00,5.9,,.5,340,57,997.9,,,0,,1.3
238,금산,2022-03-08 22:00,4.4,,0,0,61,998.2,,,0,,-.3
238,금산,2022-03-08 23:00,2.8,,.1,0,70,998.4,,,0,,-1.5
238,금산,2022-03-09 00:00,1.2,,.2,0,74,998.2,,,0,,-2.4
238,금산,2022-03-09 01:00,0,,.2,0,79,998.6,,,0,,-3.1
238,금산,2022-03-09 02:00,-.8,,.4,0,82,999.2,,,0,,-3.4
238,금산,2022-03-09 03:00,-1.6,,.4,0,85,999.3,,,0,,-3.7
238,금산,2022-03-09 04:00,-2.2,,.6,290,87,999.3,,,0,,-3.9
238,금산,2022-03-09 05:00,-2.6,,.4,0,88,999.4,,,0,,-4
238,금산,2022-03-09 06:00,-3,,.5,230,89,1000.2,,,0,,-4.3
238,금산,2022-03-09 07:00,-3.2,,.4,0,90,1000.8,0,,0,,-4.3
238,금산,2022-03-09 08:00,-1.7,,.3,0,84,1001.7,.6,,0,,-2
238,금산,2022-03-09 09:00,1.6,,.5,290,76,1002.4,1,,2,,1.1
238,금산,2022-03-09 10:00,5.1,,1.1,110,58,1002.1,1,,0,,15.4
238,금산,2022-03-09 11:00,9.1,,.8,20,43,1001.9,1,,0,,26.6
238,금산,2022-03-09 12:00,12,,1.1,70,30,1001.8,1,,0,,33.7
238,금산,2022-03-09 13:00,14.2,,1.5,70,24,1000.8,1,,0,,37.4
238,금산,2022-03-09 14:00,15.5,,1.7,340,18,1000.1,1,,0,,36.3
238,금산,2022-03-09 15:00,16.1,,2.6,360,18,999.4,1,,0,,33.3
238,금산,2022-03-09 16:00,16,,2.2,340,19,999.3,1,,0,,27.9
238,금산,2022-03-09 17:00,15.5,,1.6,320,19,999.4,1,,0,,20.9
238,금산,2022-03-09 18:00,13.9,,1.1,320,21,999.6,1,,0,,10.8
238,금산,2022-03-09 19:00,9.3,,.7,270,34,1000.1,0,,0,,4.7
238,금산,2022-03-09 20:00,7.4,,.4,0,37,1000.3,,,0,,2.3
238,금산,2022-03-09 21:00,5.6,,.1,0,46,1000.8,,,0,,.7
238,금산,2022-03-09 22:00,3.5,,.4,0,56,1001.1,,,0,,-.5
238,금산,2022-03-09 23:00,2.6,,.5,200,63,1001.2,,,0,,-1.5
238,금산,2022-03-10 00:00,1.1,,0,0,66,1001.1,,,0,,-2.3
238,금산,2022-03-10 01:00,.4,,.1,0,70,1001.5,,,9,,-2.9
238,금산,2022-03-10 02:00,-.7,,.2,0,73,1001.6,,,0,,-3.9
238,금산,2022-03-10 03:00,-1.9,,.3,0,78,1001.1,,,0,,-4
238,금산,2022-03-10 04:00,-2.2,,.5,270,79,1001,,,0,,-4.5
238,금산,2022-03-10 05:00,-2.6,,.4,0,79,1001.4,,,2,,-4
238,금산,2022-03-10 06:00,-2.4,,.7,320,80,1001.3,,,9,,-3.9
238,금산,2022-03-10 07:00,-2.2,,.4,0,80,1001.5,0,,10,,-2.6
238,금산,2022-03-10 08:00,-.2,,.7,50,74,1001.7,.3,,0,,-1.4
238,금산,2022-03-10 09:00,3.4,,.5,110,61,1002.1,1,,0,,2.1
238,금산,2022-03-10 10:00,6.9,,.9,160,46,1001.7,1,,5,,16.7
238,금산,2022-03-10 11:00,11.3,,.8,290,35,1001.5,1,,7,,25.8
238,금산,2022-03-10 12:00,15,,1.2,160,22,1000.7,1,,7,,36.2
238,금산,2022-03-10 13:00,17.4,,2.3,250,14,999.5,1,,7,,34.1
238,금산,2022-03-10 14:00,17.4,,2.7,250,14,999,1,,7,,32.8
238,금산,2022-03-10 15:00,16.6,,2.7,290,15,998.8,1,,8,,27.6
238,금산,2022-03-10 16:00,16.7,,2.7,290,15,998.5,.8,,8,,24.3
238,금산,2022-03-10 17:00,16,,1.5,340,17,997.9,.9,,6,,19.5
238,금산,2022-03-10 18:00,14.7,,.8,320,21,997.8,.8,,6,,11.9
238,금산,2022-03-10 19:00,12.3,,1.7,340,34,998.2,0,,8,,8
238,금산,2022-03-10 20:00,10.6,,.5,290,38,998.7,,,6,,5.7
238,금산,2022-03-10 21:00,7.8,,.7,250,48,998.9,,,6,,3.8
238,금산,2022-03-10 22:00,6.2,,.2,0,54,998.8,,,5,,1.7
238,금산,2022-03-10 23:00,5.3,,0,0,58,998.5,,,8,,1.2
238,금산,2022-03-11 00:00,3.8,,.4,0,64,998.5,,,6,,-.1
238,금산,2022-03-11 01:00,2.9,,.4,0,67,998.3,,,5,,-.7
238,금산,2022-03-11 02:00,1.8,,.3,0,71,998.4,,,6,,-1
238,금산,2022-03-11 03:00,.9,,.2,0,75,998.3,,,6,,-1.6
238,금산,2022-03-11 04:00,.9,,.6,320,75,998.4,,,9,,-.9
238,금산,2022-03-11 05:00,.5,,.1,0,76,998.4,,,7,,-1.7
238,금산,2022-03-11 06:00,0,,.1,0,80,998.6,,,0,,-2.4
238,금산,2022-03-11 07:00,0,,.2,0,80,998.9,0,,10,,-1
238,금산,2022-03-11 08:00,2.3,,.2,0,70,999,.1,,9,,3.8
238,금산,2022-03-11 09:00,3.7,,.2,0,66,999.2,0,,9,,6.1
238,금산,2022-03-11 10:00,6,,.2,0,58,999.1,0,,9,,11.4
238,금산,2022-03-11 11:00,8.8,,.6,140,51,998.8,0,,9,,17.3
238,금산,2022-03-11 12:00,12.2,,.8,140,42,998.5,.2,,8,,24
238,금산,2022-03-11 13:00,12.7,,.4,0,46,997.9,0,,10,,14.7
238,금산,2022-03-11 14:00,15.6,,.9,160,51,996.4,.7,,8,,25.9
238,금산,2022-03-11 15:00,16.5,0,.6,230,51,995.6,0,,9,,21.4
238,금산,2022-03-11 16:00,17.4,,1.3,340,48,995.2,.4,,9,,22.7
238,금산,2022-03-11 17:00,17,,1.5,360,56,995.2,.4,,7,,18.9
238,금산,2022-03-11 18:00,16,,1.2,340,58,995.5,0,,8,,14
238,금산,2022-03-11 19:00,14.7,,.6,290,64,996,0,,2,,9.6
238,금산,2022-03-11 20:00,11.9,,1.1,270,72,996.2,,,9,,9.3
238,금산,2022-03-11 21:00,12,,.1,0,72,996.6,,,8,,9.1
238,금산,2022-03-11 22:00,11.7,,.2,0,74,997.1,,,0,,9
238,금산,2022-03-11 23:00,11.5,,.1,0,74,997.2,,,3,,8.7
238,금산,2022-03-12 00:00,11,,.4,0,77,997.3,,,7,,8.2
238,금산,2022-03-12 01:00,8.9,,.1,0,83,997.1,,,3,,4.2
238,금산,2022-03-12 02:00,6.8,,0,0,91,997,,,3,,2.9
238,금산,2022-03-12 03:00,5.9,,.1,0,92,997.1,,,7,,2.2
238,금산,2022-03-12 04:00,6,,.1,0,92,996.8,,,8,,3.1
238,금산,2022-03-12 05:00,5.1,,.1,0,95,997,,,8,,1.8
238,금산,2022-03-12 06:00,4.4,,.9,320,95,996.7,,,4,,2.6
238,금산,2022-03-12 07:00,4.5,,.5,270,96,997.2,0,,10,,1.8
238,금산,2022-03-12 08:00,5.9,,.2,0,92,997.4,.2,,10,,4.8
238,금산,2022-03-12 09:00,8.2,,.9,110,82,998,.6,,10,,11.5
238,금산,2022-03-12 10:00,11.5,,.9,20,72,997.3,.1,,9,,17.1
238,금산,2022-03-12 11:00,15.8,,.8,20,61,996.4,.5,,8,,30.7
238,금산,2022-03-12 12:00,18.3,,.9,70,57,995.4,.5,,6,,27.1
238,금산,2022-03-12 13:00,20,,3.2,250,50,995,.3,,8,,35
238,금산,2022-03-12 14:00,19.6,,1.7,230,53,994.2,.3,,8,,23.7
238,금산,2022-03-12 15:00,19.6,,2.4,250,55,993.9,0,,9,,20.9
238,금산,2022-03-12 16:00,20.1,,2.4,250,54,993.4,.2,,9,,21.9
238,금산,2022-03-12 17:00,19.7,,2.5,270,58,993.3,0,,8,,19.7
238,금산,2022-03-12 18:00,19.1,,2.3,250,59,993.2,0,,6,,15.8
238,금산,2022-03-12 19:00,18.2,,2.2,250,59,992.7,0,,3,,11.8
238,금산,2022-03-12 20:00,18.3,,1.8,230,58,992.3,,,3,,10.8
238,금산,2022-03-12 21:00,18.6,,2.6,200,48,992.8,,,8,,11.6
238,금산,2022-03-12 22:00,17.9,,3.1,180,50,992.3,,,7,,10.6
238,금산,2022-03-12 23:00,17,,2.1,180,54,991.9,,,8,,10.2
238,금산,2022-03-13 00:00,16.9,,2.4,180,55,991.5,,,6,,10.1
238,금산,2022-03-13 01:00,17,,3.9,230,59,991.7,,,6,,10.6
238,금산,2022-03-13 02:00,16.6,,3.4,180,66,991.7,,,7,,10.9
238,금산,2022-03-13 03:00,17.1,,2.5,180,67,991,,,7,,11.8
238,금산,2022-03-13 04:00,17.1,,3.4,160,67,990.5,,,9,,11.9
238,금산,2022-03-13 05:00,16.9,,2.6,160,70,990.2,,,10,,12.2
238,금산,2022-03-13 06:00,15.7,.9,2.2,160,82,990.2,,,10,,12.1
238,금산,2022-03-13 07:00,14.2,,1.4,140,97,990.2,0,,10,,11.7
238,금산,2022-03-13 08:00,14.8,,2.3,160,91,989.8,0,,10,,12.2
238,금산,2022-03-13 09:00,14.3,6.9,1.2,340,95,990,0,,9,,12.5
238,금산,2022-03-13 10:00,14.5,,.5,50,98,990.3,0,,10,,13
238,금산,2022-03-13 11:00,14.5,,0,0,98,990.1,0,,9,,13.5
238,금산,2022-03-13 12:00,14.8,5.1,.9,50,98,989.5,0,,10,,13.9
238,금산,2022-03-13 13:00,14.8,,0,0,98,989,0,,10,,14
238,금산,2022-03-13 14:00,14.6,,.3,0,98,989.1,0,,10,,14.5
238,금산,2022-03-13 15:00,14.8,6.4,.8,70,98,988.7,0,,10,,14.4
238,금산,2022-03-13 16:00,14.9,,.7,140,98,989,0,,10,,14.9
238,금산,2022-03-13 17:00,15.3,,.5,110,94,989.2,0,,7,,15
238,금산,2022-03-13 18:00,15,.9,.8,290,91,990,0,,9,,13.5
238,금산,2022-03-13 19:00,14.3,,.4,0,96,990.7,0,,8,,12.6
238,금산,2022-03-13 20:00,13.7,,1.1,320,98,991.3,,,9,,11.4
238,금산,2022-03-13 21:00,13.8,,.3,0,96,992.1,,,9,,11.7
238,금산,2022-03-13 22:00,13.3,,.4,0,98,992.1,,,10,,11.5
238,금산,2022-03-13 23:00,13,,1,290,100,992.2,,,9,,11.3
238,금산,2022-03-14 00:00,12.9,,.4,0,99,992.3,,,10,,11.2
238,금산,2022-03-14 01:00,12.7,,.3,0,100,992.3,,,9,,11
238,금산,2022-03-14 02:00,12.6,,.8,290,100,992.5,,,8,,11
238,금산,2022-03-14 03:00,12.5,,0,0,100,991.8,,,10,,10.9
238,금산,2022-03-14 04:00,12.3,,.2,0,100,991.9,,,10,,10.8
238,금산,2022-03-14 05:00,12.2,,.2,0,100,991.8,,,10,,10.5
238,금산,2022-03-14 06:00,12.1,,.2,0,100,991.8,,,9,,10.3
238,금산,2022-03-14 07:00,12.4,,1.1,90,100,991.9,0,,10,,10.4
238,금산,2022-03-14 08:00,12.2,,1.6,140,98,991.1,0,,2,,11.5
238,금산,2022-03-14 09:00,13.8,,1.3,90,88,991.7,.7,,6,,13.6
238,금산,2022-03-14 10:00,14.1,,.3,0,84,992.1,.3,,9,,14.7
238,금산,2022-03-14 11:00,14.9,,.9,140,82,991.2,0,,10,,17.3
238,금산,2022-03-14 12:00,16.5,,5.1,160,75,989.3,.3,,9,,21.1
238,금산,2022-03-14 13:00,16.2,,3,160,76,989.1,.1,,8,,16.1
238,금산,2022-03-14 14:00,15.8,,5,230,80,988,0,,10,,14.9
238,금산,2022-03-14 15:00,14.4,2.2,2.6,270,88,987.9,0,,10,,16.6
238,금산,2022-03-14 16:00,12.7,,5,270,87,988.8,0,,10,,14
238,금산,2022-03-14 17:00,10.4,,2.9,290,85,989.5,0,,10,,11.8
