지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),합계 일사량(MJ/m2),평균 전운량(1/10),평균 지면온도(°C)
238,금산,2023-08-30,21.2,19.9,22.5,31.7,.6,97.9,989.7,,8.6,23.5
238,금산,2023-08-31,22,18.5,27,,.6,85.3,990.9,,7,27
238,금산,2023-09-01,21.4,16.7,29.3,,.7,82.4,992.1,,4.5,25.8
238,금산,2023-09-02,22.4,15.8,29.6,0,.7,85.3,992,,2,25.5
238,금산,2023-09-03,25.2,21.4,31.2,2.9,.8,86.3,992.5,,6.5,26.8
238,금산,2023-09-04,26.1,22.1,31.8,,.8,83.8,992.2,,7.9,29.2
238,금산,2023-09-05,25.2,20.4,30.6,,1.1,73,991.8,,6.9,29.1
238,금산,2023-09-06,24.1,18.3,30.8,,.9,76.5,992.1,,2.8,27.1
238,금산,2023-09-07,22.4,17.1,29.8,,1.1,74.1,994.6,,.9,25.6
238,금산,2023-09-08,21.5,14.9,29.1,,.9,74.6,993.3,,0,24.8
238,금산,2023-09-09,22.2,16.2,30.1,,.7,78.8,991.5,,1.4,25.4
238,금산,2023-09-10,23.2,17.8,30.7,,.7,79.8,990.6,,4.9,25.9
238,금산,2023-09-11,23.9,19.7,29.7,,.7,78.9,989.9,,5.9,27.7
238,금산,2023-09-12,23.4,19.4,28.8,,.7,79.3,991.1,,8.3,27.1
238,금산,2023-09-13,20.8,19.1,22.8,12.2,.6,95.4,991.5,,10,23.6
238,금산,2023-09-14,21.6,19,25.3,7.7,.6,92.3,992.5,,10,23.5
238,금산,2023-09-15,21.7,20.7,23.7,15.4,.7,98,993.6,,9.6,24
238,금산,2023-09-16,22.7,21.1,27.9,14.8,.8,95.9,992.1,,8.6,24.1
238,금산,2023-09-17,23,20.7,27.9,39,.6,92.3,990.9,,8,26.5
238,금산,2023-09-18,23.4,20.1,29.7,,.7,85.9,992.9,,3.6,26.2
238,금산,2023-09-19,22.1,18.6,27.6,,.6,85.8,994.6,,7,25.3
238,금산,2023-09-20,20.5,19.6,22.5,91.2,.9,98.5,989.4,,9.4,23
238,금산,2023-09-21,19.1,17.4,21.8,4.5,.8,94.6,990.6,,8.4,21.9
238,금산,2023-09-22,18.5,13.8,24.3,,.8,83.5,995.9,,5,23
238,금산,2023-09-23,17.5,12.5,24.4,,.9,83.6,999.5,,6.8,20.1
238,금산,2023-09-24,19.6,13.2,25,,1.4,68.5,999.3,,5.8,21.1
238,금산,2023-09-25,20.7,16.9,26.2,2.1,.8,80.6,996,,9.8,22.9
238,금산,2023-09-26,20.2,19.1,21.5,20.4,.6,99.3,993,,,21.9
238,금산,2023-09-27,20.8,18.7,23.3,1.9,.6,92.8,992,,7.6,22.3
238,금산,2023-09-28,20.9,16.9,26.2,,.7,85.3,994.3,,4.5,23.8
238,금산,2023-09-29,18.9,15.6,24.7,,.6,82.6,994.4,,8.3,22.3
238,금산,2023-09-30,18.1,14.5,23.5,6.4,.9,83.6,992.2,,6.3,22
238,금산,2023-10-01,15.9,10.3,22.5,,1.1,73.8,994.7,,.8,19.1
238,금산,2023-10-02,14.3,8.2,23.2,,.9,75,998.2,,3.4,17.8
238,금산,2023-10-03,13,8.6,18,0,.5,89.3,997.7,,6.3,16
238,금산,2023-10-04,16.9,10.4,23.6,,1,78.6,994.3,,6.8,19.9
238,금산,2023-10-05,13.9,9.1,19.1,,1.6,49.4,996.3,,3.3,16.6
238,금산,2023-10-06,13.5,7.6,20.6,,.8,70.8,999,,7.9,17.5
238,금산,2023-10-07,14.5,8.9,19.9,,.7,80,1001.5,,9.3,17.2
238,금산,2023-10-08,16.3,13,21.4,0,1,74,1001.8,,8.9,19.3
238,금산,2023-10-09,15.6,11.3,22.1,,.6,80.8,999.4,,6.8,17.9
238,금산,2023-10-10,15.1,10.7,21.9,,.7,79.8,1000.5,,3.8,19.1
238,금산,2023-10-11,14,8.8,23.2,,.8,77.4,1004,,1.8,18.9
238,금산,2023-10-12,13.5,7,22.8,,.6,76.8,1003.9,,4.8,18.3
238,금산,2023-10-13,14.8,9.3,22.4,,.6,77.5,997.7,,7,17.7
238,금산,2023-10-14,12.7,7.6,21.2,1.7,.8,88.9,990.4,,6.5,17.1
238,금산,2023-10-15,13.4,9,20.8,,.9,82.3,991.3,,3.3,17.7
238,금산,2023-10-16,13,6.8,19.9,,.9,75,995.4,,1.9,16.7
238,금산,2023-10-17,10.3,3.4,20.4,,.7,76.8,999.3,,.4,15.8
238,금산,2023-10-18,12.6,5,24.3,,.7,76.3,999.5,,2.9,16.7
238,금산,2023-10-19,14.1,8.5,21.3,2.2,.8,87.4,996,,9,15.6
238,금산,2023-10-20,11.6,6.6,16.3,2.5,2,64.4,997,,4.4,14.9
238,금산,2023-10-21,8.7,1.6,17.2,0,1.1,76,1000.6,,2,11.6
238,금산,2023-10-22,9.8,2,17.9,,.6,77.3,1003.2,,5.1,12.3
238,금산,2023-10-23,11.3,5.4,20.1,,.6,84.4,1002.6,,1.9,14.8
238,금산,2023-10-24,12.1,6.5,21.3,,.6,83.6,1000.1,,4,15.2
238,금산,2023-10-25,13.4,7.6,22.5,,.6,84.8,998,,2,16.3
238,금산,2023-10-26,14.4,8.3,22.3,1.2,.7,86,995.2,,3.6,17.4
238,금산,2023-10-27,12.7,8.2,18.3,,.8,81.9,994.5,,4,14.7
238,금산,2023-10-28,11.5,6.5,19.2,,.6,85.3,998.2,,4.3,15
238,금산,2023-10-29,11.1,5.2,20.7,,.5,82.4,1001.1,,1,14.8
238,금산,2023-10-30,11.6,5.5,21.6,,.5,81.9,1002.1,,1.6,14.8
238,금산,2023-10-31,11.6,5.5,23.3,,.6,75,1001.9,,2.5,14.5
238,금산,2023-11-01,15,5.4,24,,1.1,76.5,998.8,,2.1,15.2
238,금산,2023-11-02,16.6,9.7,26.7,,1,66.8,997.4,,.8,16.1
238,금산,2023-11-03,16.3,8.1,24.3,,1,75.1,996.2,,5.4,16.5
238,금산,2023-11-04,17.1,13.4,21.5,0,.6,87.6,999.9,,8.1,17.1
238,금산,2023-11-05,17.9,13.3,24.7,6.8,1.5,85.3,996.3,,9,17.7
238,금산,2023-11-06,15.3,9.8,21.6,16.2,3.6,69.8,988.8,,7.1,16.4
238,금산,2023-11-07,8,1.5,12.8,0,2.2,61.1,1000.4,,2.8,11.2
238,금산,2023-11-08,6.4,-1.3,17.8,,.7,71.8,1001.7,,1.9,9.3
238,금산,2023-11-09,10.7,1.2,18.8,17,.6,83.3,999.6,,7.6,12.1
238,금산,2023-11-10,5.6,-1.1,11.4,1.7,1.6,57.1,1003.6,,4.4,9.9
238,금산,2023-11-11,.8,-3.2,5.2,,.8,70.8,1007.1,,5.6,5.8
238,금산,2023-11-12,.7,-3.1,4.8,,.9,78,1006,,4.1,4.9
238,금산,2023-11-13,.8,-5.4,7.9,,.9,72.3,1006.9,,0,5.2
238,금산,2023-11-14,4.6,-2.9,11.8,,.7,73.9,1005.9,,4.9,7.5
238,금산,2023-11-15,5.9,1.6,13,,.7,75.8,1006.7,,1.4,8.3
238,금산,2023-11-16,4.2,.8,7,8.4,.4,95.4,999.5,,8.1,7.5
238,금산,2023-11-17,2.9,-.1,6.8,1.5,1.6,76.3,993.4,,7.3,6.4
238,금산,2023-11-18,1.8,-2.9,6.8,2.2,2.3,70.3,997.6,,4.9,6.1
238,금산,2023-11-19,6.8,-.8,12.7,,1.5,77.4,997.6,,4.4,7.2
238,금산,2023-11-20,4.1,-1.6,13.2,,.6,70.1,1002.7,,0,6
238,금산,2023-11-21,4.2,-3.5,16.5,,.5,71.1,1001,,0,5.4
238,금산,2023-11-22,6.2,-2.3,16.5,,.7,80.8,996.5,,2.8,6.6
238,금산,2023-11-23,12.1,6,17.8,,2.2,64.6,993.5,,4.4,10.8
238,금산,2023-11-24,1.1,-3.6,6.1,,2.8,53,1006.6,,.8,4.6
238,금산,2023-11-25,-2,-7,4.9,,.8,55.5,1010.5,,0,2
238,금산,2023-11-26,2.6,-4.5,8.3,1.6,.7,67.5,1003.8,,7.1,5
238,금산,2023-11-27,6.8,3.9,10.6,4.6,1,89.1,994.3,,6.4,7.7
238,금산,2023-11-28,3.6,-.6,7,,1.5,67,1000,,3.3,6.4
238,금산,2023-11-29,2.5,-.3,7.2,,1.5,73,1003.5,,7.8,5.6
238,금산,2023-11-30,-2.1,-5.1,1.2,,1.7,59.1,1006.9,,1.8,2.3
