지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 이슬점온도(°C),평균 현지기압(hPa),가조시간(hr),평균 전운량(1/10),평균 지면온도(°C)
129,서산,2024-10-24,11.6,5.3,18.4,,1.3,7.5,1020.1,10.9,0,13.7
129,서산,2024-10-25,14.9,9,21.3,,2.1,9.4,1021.6,10.9,4.8,14.7
129,서산,2024-10-26,16.6,9.5,24.9,,1,11.7,1017.6,10.9,1.4,16.2
129,서산,2024-10-27,14.9,11.8,19.5,.4,1.3,12.5,1011.8,10.8,8.4,16.4
129,서산,2024-10-28,14.7,8.8,18.4,,1.4,11.1,1012.3,10.8,6.3,15.6
129,서산,2024-10-29,16.1,12.4,21.2,,1.4,9.5,1015.6,10.8,5.4,16.5
129,서산,2024-10-30,14.4,9.3,21.2,,1.3,9.8,1020.1,10.7,.3,15.2
129,서산,2024-10-31,14.9,9.3,23.3,,.9,9.7,1020.1,10.7,2.5,14.8
129,서산,2024-11-01,14.8,11.2,17.2,0,1.5,10.9,1016.4,10.7,10,15
129,서산,2024-11-02,17,10.8,23.7,,1.8,11.1,1015.4,10.6,1.8,16.1
129,서산,2024-11-03,16,9.8,22.5,,1.5,12.5,1018.9,10.6,2,15.8
129,서산,2024-11-04,14.9,7.6,19.9,1,2.3,9.1,1018.6,10.6,5.6,16
129,서산,2024-11-05,9.7,5.4,13.6,,2.2,.9,1020.3,10.5,2.5,11.2
129,서산,2024-11-06,7.3,2.2,12.1,,1.9,-.2,1024.2,10.5,0,9.5
129,서산,2024-11-07,6.4,-.2,14.5,,1.3,-.5,1027.2,10.5,0,8.2
129,서산,2024-11-08,8.5,1.1,16.6,,1.4,1.7,1025.4,10.4,.4,9
129,서산,2024-11-09,12.1,4.4,19.2,,1.6,6.4,1023.6,10.4,3.6,11.3
129,서산,2024-11-10,13.6,8.3,21.1,,1.1,8.5,1019.5,10.4,4.5,13.6
129,서산,2024-11-11,12.8,7.2,20.6,,1,8.3,1017.6,10.3,2.1,12.6
129,서산,2024-11-12,12.6,7.2,19.1,,1.2,8.4,1017.5,10.3,2.4,12.9
129,서산,2024-11-13,12.3,5.7,20,,1.2,7.3,1019.4,10.3,2.5,12
129,서산,2024-11-14,14,10.6,19.6,.8,.8,10.5,1017.3,10.3,8.6,13.8
129,서산,2024-11-15,15.3,12.6,21.8,5.7,1.4,11.5,1015.6,10.2,6.9,14.9
129,서산,2024-11-16,15.9,10.9,21.7,1.6,1.4,12,1013.9,10.2,6.9,15.7
129,서산,2024-11-17,8.9,5,15,,3.8,-1.9,1021.8,10.2,6.4,10
129,서산,2024-11-18,3.1,-2.1,7,,3,-8.7,1030,10.1,.3,4.5
129,서산,2024-11-19,3.6,-2.5,11,,1.2,-5,1027.1,10.1,3.6,5.1
129,서산,2024-11-20,5.6,-1,11.4,2.1,.8,2.4,1021.8,10.1,7.1,6.6
129,서산,2024-11-21,9.4,4.5,15.1,0,1.4,5.2,1017.8,10.1,5,10
129,서산,2024-11-22,6.2,-.5,10.8,,2.2,-1.9,1021.2,10,0,6.5
129,서산,2024-11-23,4.7,-1.6,12.3,,1.5,-3.1,1024.9,10,2.1,5.4
129,서산,2024-11-24,6,-1.2,14.3,,1,.5,1026.4,10,1.1,5.9
129,서산,2024-11-25,10.9,1.8,17.3,.3,1.8,3.7,1019.8,10,5.4,8.7
129,서산,2024-11-26,7.3,3.6,11.8,27.6,4.3,2.4,1010.4,9.9,8.8,8.5
129,서산,2024-11-27,3,.7,5.3,8.7,5.1,-2.7,1009.4,9.9,8,3.2
129,서산,2024-11-28,3.7,1.9,7.3,10.5,3.2,.6,1008.7,9.9,8.3,5.7
129,서산,2024-11-29,2.6,-1,5.6,3.8,1.8,0,1010.7,9.9,6.9,4.9
129,서산,2024-11-30,4.3,-1.5,11.5,0,1.1,1.6,1012.9,9.9,4.4,5.2
129,서산,2024-12-01,7.3,1.5,12.7,.9,.8,5.7,1012.5,9.8,6,7.6
129,서산,2024-12-02,7.3,3.4,15.6,,2.3,4.3,1014,9.8,1.8,7.7
129,서산,2024-12-03,1.5,-1.8,5.2,,1.6,-6.8,1021.1,9.8,5.1,3.3
129,서산,2024-12-04,2.9,-.7,8.1,0,1.2,-2.5,1019.2,9.8,4.5,4.7
129,서산,2024-12-05,4.4,-.6,8.4,4.9,1.8,1.1,1014.9,9.8,7,5.1
129,서산,2024-12-06,3.7,1,7.4,.8,2.1,-1.9,1018.6,9.8,4.6,4.9
129,서산,2024-12-07,1.9,-1.7,5.3,.4,2.6,-4.2,1021.6,9.8,6.8,3.7
129,서산,2024-12-08,1.1,-1.4,4.7,,2.2,-5.5,1024.1,9.7,2.1,2.3
129,서산,2024-12-09,1.6,-3.6,4.7,0,.9,-3.1,1022,9.7,7,3.1
129,서산,2024-12-10,3.1,-2.2,8.7,,.9,-1.9,1021.4,9.7,4.8,4.3
129,서산,2024-12-11,1.7,-2.3,7.5,,1.3,-3.6,1020.4,9.7,5,3.2
129,서산,2024-12-12,-.4,-5.8,5.5,,.9,-5.5,1022.5,9.7,4.8,1.4
129,서산,2024-12-13,1.1,-2.1,5,0,1.7,-4.9,1020,9.7,6.9,2.6
129,서산,2024-12-14,1.3,-.9,4.2,1.5,2.6,-4.6,1022.7,9.7,7.5,2.4
129,서산,2024-12-15,2.2,-1.1,6.4,5.4,2.5,-2.3,1019,9.7,6.8,2.9
129,서산,2024-12-16,.5,-4.1,4.6,.5,.9,-2.6,1019.8,9.7,7.5,2.5
129,서산,2024-12-17,-.2,-4.7,5,0,1.5,-4.7,1022.9,9.7,4.8,2
129,서산,2024-12-18,-2.1,-4.9,.6,0,2.3,-8.8,1024.5,9.7,4.6,.4
129,서산,2024-12-19,-1.9,-8.2,5.5,,.9,-8.3,1026.7,9.7,3.8,-.6
129,서산,2024-12-20,.4,-3.7,3.7,.2,.7,-1.5,1019.4,9.7,9.8,1.2
129,서산,2024-12-21,.4,-1.9,3.7,.9,4,-4.7,1017.7,9.6,6.9,.9
129,서산,2024-12-22,-2.1,-6,2.1,,2.5,-8.7,1025.3,9.7,.4,-1.4
129,서산,2024-12-23,.3,-6.7,7.1,,1.2,-3.5,1024.1,9.7,4.3,.3
129,서산,2024-12-24,-.4,-5.7,5.6,,1.1,-6,1025.6,9.7,3,-.1
129,서산,2024-12-25,3.1,-3.7,8.1,.1,1.1,-1.9,1022.6,9.7,8.3,2.7
129,서산,2024-12-26,1.9,-1.4,6.2,0,3.9,-5.3,1023,9.7,4.8,2
129,서산,2024-12-27,-.7,-3.1,2.4,.5,1.6,-6.5,1023.6,9.7,7.5,1.4
129,서산,2024-12-28,-1,-2.7,1.5,0,1.9,-6,1022.1,9.7,8.8,1.9
129,서산,2024-12-29,1.3,-3.4,7.2,,1,-2.3,1022,9.7,5.5,2.5
129,서산,2024-12-30,6.3,.8,10.4,,2.6,.7,1016.3,9.7,7.1,4.8
129,서산,2024-12-31,.5,-5,5.9,,2.5,-8.1,1019.2,9.7,0,1.3
177,홍성,2024-06-01,19.3,16.1,24.2,0,2.5,12.7,1008.3,14.5,3.8,24.9
177,홍성,2024-06-02,19.7,13.1,25.4,,1.9,11.7,1007.7,14.5,2.1,26.8
177,홍성,2024-06-03,20.4,13.5,26.4,,1.7,12.6,1007.7,14.5,.5,26.5
177,홍성,2024-06-04,20.9,15.2,27.3,,1.4,14.7,1012.8,14.6,0,29.5
177,홍성,2024-06-05,21.1,15.3,27.8,,1.6,15.8,1015.2,14.6,6,30
177,홍성,2024-06-06,21.4,16.9,28.3,,1.5,14.4,1013.8,14.6,5,28.3
177,홍성,2024-06-07,21.5,15.1,26.6,0,1.3,13.1,1010.7,14.6,8.3,27.3
177,홍성,2024-06-08,20.9,17.7,25.4,1.7,1.5,18.5,1006.1,14.6,7.8,26.5
177,홍성,2024-06-09,22.3,18.1,28.5,,1.4,17.7,1005.3,14.6,3.6,29.9
177,홍성,2024-06-10,23.5,18.2,30.2,,2.3,18,1004.8,14.6,.5,28.8
177,홍성,2024-06-11,23.5,19.1,30.9,,1.8,18.1,1004.6,14.6,4.8,30.5
177,홍성,2024-06-12,23.5,16.1,32.4,,1.3,15.2,1002.9,14.6,2.8,33.3
177,홍성,2024-06-13,24.2,18,31,,1.6,16.7,1002.1,14.7,1.9,33.8
177,홍성,2024-06-14,24.4,18.2,31.3,,1.4,18.3,1002.5,14.7,5.5,32
177,홍성,2024-06-15,24.3,21,28.1,0,1.4,20,1001.2,14.7,6.9,31.6
177,홍성,2024-06-16,23.3,18.2,28.7,,2,16.9,1004.2,14.7,3.3,31.5
177,홍성,2024-06-17,23.2,16.1,29.8,,1.6,13.3,1005.2,14.7,6.4,27.9
177,홍성,2024-06-18,24,15.6,31.7,,1.9,17.2,1004.6,14.7,0,31.2
177,홍성,2024-06-19,26,18.3,34.3,,1.5,16.9,1005.4,14.7,4,33.6
177,홍성,2024-06-20,25.1,19.2,31.3,,1.3,16.6,1001.6,14.7,4.8,32.6
177,홍성,2024-06-21,25.4,18.5,31.1,,1.3,17.1,999.8,14.7,6.5,32.3
177,홍성,2024-06-22,22.8,22.2,24.1,52.6,1.3,22.1,995.2,14.7,10,24.5
177,홍성,2024-06-23,24.7,22.6,28.3,5.1,1.9,22.9,996.4,14.7,8.8,27.3
177,홍성,2024-06-24,23.8,19.7,27.8,,2.3,19.6,1001.4,14.7,7,26.2
177,홍성,2024-06-25,22.6,16.9,27.4,,2.1,16,1008.6,14.7,5,25.3
177,홍성,2024-06-26,23.4,17.8,29.2,,1.3,17.6,1012.2,14.7,2.8,28.1
177,홍성,2024-06-27,23.2,17.9,28.4,,1,18.2,1008.9,14.7,5.6,26.3
177,홍성,2024-06-28,24.1,17.8,30.9,,1,18,1004.8,14.7,1.6,30.3
177,홍성,2024-06-29,24.9,20.9,28.9,56.8,1.8,22.5,1000.1,14.6,8.9,27.7
177,홍성,2024-06-30,24.4,22,27.2,4,3.3,23.2,995.9,14.6,7.9,25.6
177,홍성,2024-07-01,25.3,20.9,30,,1,22.2,1001.3,14.6,4.4,28.5
177,홍성,2024-07-02,23.6,21.4,27.7,37.4,1,23.3,1000.7,14.6,9.9,24.2
177,홍성,2024-07-03,25.3,24.1,27.1,.1,2.3,23.6,1006.1,14.6,8.9,27.8
177,홍성,2024-07-04,27.1,23.4,31.2,.7,2,23.7,1004.1,14.6,6.1,28.3
177,홍성,2024-07-05,24.6,21.9,27.8,0,2.7,21.3,1002.5,14.6,7.4,27.5
177,홍성,2024-07-06,26.4,22.1,30.9,4.2,2.5,24.8,1000.7,14.6,9.5,30.8
177,홍성,2024-07-07,23.9,21.9,25.9,100.3,1.4,23.7,1001.9,14.6,10,24.6
177,홍성,2024-07-08,24.2,23,25.7,105.4,1.6,24,1000.5,14.6,10,24.7
177,홍성,2024-07-09,23.8,22.9,24.6,15.1,1,23.6,1001.2,14.5,10,24.4
177,홍성,2024-07-10,25.8,21.5,31.2,94.6,2.3,23,997.4,14.5,5.1,30.1
177,홍성,2024-07-11,24.5,21.9,28.5,,1.8,22.8,999.7,14.5,7.4,28.9
177,홍성,2024-07-12,25,21.8,29.4,,1.1,23.3,1000.2,14.5,5.8,31
177,홍성,2024-07-13,26.4,22.3,31,,1,24,1002.8,14.5,4.6,31.8
177,홍성,2024-07-14,25.5,22.7,31.2,10.3,1.6,23.8,1006.1,14.4,7,30.7
177,홍성,2024-07-15,26.8,23,30.9,0,1.2,24.5,1008.3,14.4,5,30.6
177,홍성,2024-07-16,25.1,23.3,27.5,32.8,.9,24.7,1007.6,14.4,9.3,27.3
177,홍성,2024-07-17,27.7,23.2,30.2,4.9,3.1,25.9,1005.3,14.4,9.5,29.3
177,홍성,2024-07-18,25.7,24.5,28.3,68.7,2.9,25,999.7,14.4,10,25.4
177,홍성,2024-07-19,25.7,23.9,29.6,.5,1.7,24.9,1003,14.4,8.5,28.7
177,홍성,2024-07-20,26.6,22.9,31,6.8,2.2,25.3,1003.7,14.3,8.8,28.5
177,홍성,2024-07-21,27.4,24.9,29.5,0,2.9,26.2,1005,14.3,7.3,28.1
177,홍성,2024-07-22,28.8,27.6,30.4,0,2.9,26.3,1003.2,14.3,8.6,28.3
177,홍성,2024-07-23,26.7,24.8,28.4,39.2,2.4,26.3,1002.2,14.3,9.6,26.1
177,홍성,2024-07-24,28.3,26.7,31.4,10.4,1.9,27.2,1002,14.2,7.3,29.3
177,홍성,2024-07-25,28.2,24.7,33.3,6,.8,26.1,1003.6,14.2,6.4,31.6
177,홍성,2024-07-26,28.5,24.7,33.7,.5,1.3,26.5,1007,14.2,8,29.3
177,홍성,2024-07-27,28.8,26.3,32.9,17.6,1.5,27.5,1011.3,14.2,8.6,29.5
177,홍성,2024-07-28,29.6,26.8,33.2,,2.6,25.9,1010,14.1,7.8,30.8
177,홍성,2024-07-29,28.4,26.8,30.3,0,3.1,26.6,1007,14.1,7.8,28.8
177,홍성,2024-07-30,28.1,26.6,31.3,,2.2,26.3,1005.2,14.1,5.3,29.5
177,홍성,2024-07-31,29.1,26,33.1,,2,26.2,1004.1,14,4.1,32.6
177,홍성,2024-08-01,29.7,27.5,32.8,0,2.3,27.1,1002.2,14,4,36
177,홍성,2024-08-02,29.8,27.4,32.8,,2.4,27.9,1002,14,5.3,35.8
177,홍성,2024-08-03,29.7,25.8,34.3,.1,1.1,27.1,1004.9,14,4.4,33.1
177,홍성,2024-08-04,29.5,24.4,35.2,,1,26.6,1005.1,13.9,2.3,38.9
